Car Model Year,Car Model,Car Make,Country Code
1994,Spider,Alfa Romeo,MY
2001,Cougar,Mercury,RU
2001,530,BMW,RU
2003,57,Maybach,IR
2008,S2000,Honda,UZ
2002,Rendezvous,Buick,SE
2007,Grand Cherokee,Jeep,FR
1991,Civic,Honda,MM
2001,Ram 1500,Dodge,MA
2005,Classic,Chevrolet,PL
2008,PT Cruiser,Chrysler,SE
1988,Fox,Volkswagen,CN
2009,Vibe,Pontiac,TH
1989,Probe,Ford,BR
1992,Ramcharger,Dodge,RS
1994,Rally Wagon 2500,GMC,FI
2008,Sorento,Kia,IR
2009,Fit,Honda,CN
1993,7 Series,BMW,BR
2007,SC,Lexus,ZM
1996,SVX,Subaru,CZ
2005,Explorer,Ford,PL
2010,F150,Ford,BA
1997,LeSabre,Buick,PL
1993,ES,Lexus,CO
1986,Precis,Mitsubishi,PL
2011,Expedition EL,Ford,TH
2003,VUE,Saturn,PK
1970,914,Porsche,SE
2010,SC,Lexus,BR
