Car Model Year,Car Model,Car Make,Country Code
2008,Taurus X,Ford,IE
2009,CL-Class,Mercedes-Benz,SE
2001,Swift,Suzuki,PK
1999,LX,Lexus,ID
2007,C70,Volvo,SE
2012,Express 2500,Chevrolet,ID
2009,Element,Honda,RU
2002,Alero,Oldsmobile,LY
1994,3500,GMC,NO
2011,Boxster,Porsche,RU
2008,Maxima,Nissan,TJ
1999,Ram 2500,Dodge,CN
2004,Explorer,Ford,ID
2010,Clubman,MINI,GT
2009,Routan,Volkswagen,PL
2010,Grand Vitara,Suzuki,CO
1999,S80,Volvo,SE
2008,GranTurismo,Maserati,PT
2003,Escalade EXT,Cadillac,CN
2011,E150,Ford,PK
2009,Ram 3500,Dodge,HN
2007,Monterey,Mercury,CO
2001,S4,Audi,CM
2010,Jetta,Volkswagen,CN
1994,Golf III,Volkswagen,PH
2006,760,BMW,NG
2001,Miata MX-5,Mazda,SE
1993,Continental,Lincoln,MX
2002,Allroad,Audi,GR
2006,Mazda6 Sport,Mazda,TG
